,aut_group_size,aut_group_size_exp,density,m,modularity,n,name,num_generators,num_orbits
0,1.0,0,0.010127756812,14626,0.76816241236,1700,utm1700b.mtx,0,1700
1,1.25984475379,181254,6.83891738162e-06,1594493,0.45896471731,682862,ASIC_680k.mtx,403326,278692
2,1.0,0,0.0011198622847,15004,0.889596511933,5177,rail_5177.mtx,0,5177
3,1.0,0,0.00101197492999,28458,0.489223594083,7500,fd12.mtx,0,7500
4,2.83520749994,39,0.00406551568581,34129,0.787713948869,4098,sts4098.mtx,97,3983
5,2.27533313286,1274,0.00135863497751,24248,0.313569561047,5975,c-32.mtx,1444,39
6,4.8,1,0.000753209465735,158956,0.710392017396,20545,bayer04.mtx,3,20540
7,1.00663296,8,0.0115037920709,3777076,0.454712967796,25626,TSOPF_RS_b2052_c1.mtx,26,25600
8,1.82372540549,79,0.000599148841521,515681,0.894723847673,41490,g7jac140sc.mtx,257,41233
9,8.09264762484,182,0.00485130681017,4576,0.770708913028,1374,nnc1374.mtx,568,405
10,1.03451298951,472,0.0117348273728,39557,0.755084979054,2597,cavity11.mtx,1418,613
11,4.0,4,0.000599607192144,749494,0.577678779237,50000,sparsine.mtx,5,30
12,2.0,0,0.000511916697827,26952,0.83437046964,10262,sit100.mtx,1,5131
13,1.66849801043,2642,0.000341231577672,85612,0.82691791747,22401,c-50.mtx,4855,6966
14,1.327104,6,0.000832242080372,230968,0.870855502352,23560,af23560.mtx,13,1482
15,1.30090204876,7147,0.00266274189132,677576,0.879090541924,22560,rim.mtx,15360,3627
16,2.12172018377,2727,0.000135247821824,156231,0.875528190303,48066,c-65.mtx,7289,17982
17,6.85330371116,3916,0.000222997849286,68806,0.954643955048,24842,hvdc1.mtx,11927,11896
18,1.0,0,0.00589244622311,11779,0.379069579243,2000,G42.mtx,0,2000
19,8.83375601153,169,0.00152799156726,19349,0.763830456169,5033,c-29.mtx,526,2090
20,6.0,0,0.000469418812883,3001276,0.789595696026,113081,Ga10As10H30.mtx,2,19858
21,6.0,0,0.00496778215725,587054,0.622391841689,15374,TSOPF_RS_b162_c3.mtx,2,5374
22,5.05780901103,48,0.00224393679685,38390,0.861206034759,5850,g7jac020sc.mtx,151,1674
23,3.06992148072,5405,8.82302160305e-05,311747,0.84365050356,84064,c-72.mtx,14970,32125
24,8.30767497366,34,0.0249973706927,4368562,0.539923258159,18696,TSOPF_RS_b678_c1.mtx,116,18580
25,2.0,0,6.87956749998e-05,462590,0.948617855113,115967,torso2.mtx,1,58113
26,6.04462909807,23,0.0007362517743,69028,0.789285133784,13694,jan99jac040sc.mtx,79,13270
27,8.0,0,7.06716422208e-05,230692,0.90448417081,80800,apache1.mtx,3,10200
28,2.74242487329,40037,0.000216370688256,2630217,0.864822788064,155924,para-6.mtx,102904,53020
29,3.2733906079,150,0.00639155557558,288753,0.917306888342,9506,nemeth16.mtx,500,9006
30,4.70599159625,1258,0.000334281716961,89927,0.770868241634,23196,c-51.mtx,3594,9487
31,4.42284070463,227,0.00122969166021,12996,0.827812380133,4598,c-28.mtx,649,1999
32,1.24256549482,312,0.00483062588918,16624,0.388979626873,2624,circuit_1.mtx,1033,764
33,1.6,1,0.00015226880037,3722469,0.733946743665,221119,CO.mtx,3,15069
34,1.0,0,0.00192177440434,8095,0.759380099124,2903,wang1.mtx,0,2903
35,8.589934592,9,0.0137458646635,1452518,0.576949557756,14538,TSOPF_RS_b300_c1.mtx,33,14505
36,8.5664649701,824,0.00678291378951,70567,0.791798443684,4562,cavity19.mtx,2488,1068
37,1.0,0,0.00588594297149,11766,0.383042032681,2000,G40.mtx,0,2000
38,2.0,0,0.000799919983997,9997,0.964564431848,5000,olm5000.mtx,1,2500
39,1.04748499453,152,0.00427206029404,193000,0.929584533128,9506,nemeth09.mtx,505,9001
40,2.4,1,0.000531409252601,2529405,0.760543790028,97569,Si34H36.mtx,3,4537
41,4.87322825764,1828,0.000909461878154,56275,0.514813305306,11125,c-43.mtx,3065,2989
42,9.10619401256,16802,0.00378007036871,2304655,0.812472688023,34920,ship_001.mtx,29115,5805
43,1.52695420247,6867,0.000220051155082,211912,0.967430668316,43887,OPF_10000.mtx,20740,16536
44,3.16542660734,174320,5.45215840485e-05,372118,0.489018637723,116835,dc3.mtx,42030,73422
45,1.0,0,0.00828116399259,15240,0.804825725832,1919,plat1919.mtx,0,1919
46,5.26013590155,210,0.00019319059634,231561,0.92947536204,48962,gridgena.mtx,700,40189
47,6.0,0,0.000493844573686,4375858,0.82427570424,133123,Ga19As19H42.mtx,2,23311
48,1.6,1,9.00640004e-05,1152812,0.928316658947,160000,majorbasis.mtx,3,10100
49,1.152,3,0.00528219971056,31536,0.844015101945,3456,thermal.mtx,5,8
50,1.16640750651,17292,0.00102149203373,2611390,0.875540055438,71505,F2.mtx,44184,27178
51,1.0,0,0.0109454784238,7092473,0.668845860254,36000,nd12k.mtx,0,36000
52,5.61011868259,103,0.0686124534993,11841,0.544840123672,588,bcsstm34.mtx,292,165
53,4.0,0,0.000247957282287,20925,0.923606010543,12992,tuma2.mtx,2,3626
54,1.6,1,0.00185772576599,169624,0.750942815197,13514,poisson3Da.mtx,4,13510
55,6.28947709204,4750,0.00333059532503,501899,0.893326994505,17361,gyro_k.mtx,11686,5668
56,8.13966605576,236,0.00441325963402,199379,0.92876144447,9506,nemeth11.mtx,787,8719
57,2.0,0,0.00133629043688,267218,0.577623632828,19999,Trefethen_20000b.mtx,1,10000
58,9.16511223288,899,0.00148402117377,63770,0.615777105807,9271,c-39.mtx,1875,3459
